Department,Hire_Date,Termination_Date,Tenure,Tenure_Distribution
Engineering,2010-12-03,,NULL,"LEGACY TENURE"
Engineering,2012-10-21,,NULL,"LEGACY TENURE"
Engineering,2004-12-19,2009-07-15,4.5726,"MEDIUM TERM"
Engineering,2003-07-06,,NULL,"LEGACY TENURE"
Engineering,2005-05-30,,NULL,"LEGACY TENURE"
Engineering,2006-04-20,,NULL,"LEGACY TENURE"
Engineering,2004-08-03,,NULL,"LEGACY TENURE"
Engineering,2005-04-25,2008-04-30,3.0164,"MEDIUM TERM"
Engineering,2011-12-12,,NULL,"LEGACY TENURE"
Engineering,2020-05-19,2035-01-12,14.6603,"LONG TERM"
Engineering,2014-07-24,,NULL,"LEGACY TENURE"
Engineering,2010-05-02,2021-02-23,10.8219,"LONG TERM"
Engineering,2014-08-07,,NULL,"LEGACY TENURE"
Engineering,2020-10-09,,NULL,"LEGACY TENURE"
Engineering,2003-05-15,2015-09-30,12.3863,"LONG TERM"
Engineering,2003-08-16,,NULL,"LEGACY TENURE"
Engineering,2016-11-11,,NULL,"LEGACY TENURE"
Engineering,2001-04-07,,NULL,"LEGACY TENURE"
Engineering,2006-11-13,2009-04-16,2.4247,"ENTRY LEVEL"
Engineering,2019-01-25,,NULL,"LEGACY TENURE"
Engineering,2020-01-15,,NULL,"LEGACY TENURE"
Engineering,2011-03-06,,NULL,"LEGACY TENURE"
Engineering,2007-04-28,2021-08-30,14.3507,"LONG TERM"
Engineering,2008-01-18,2012-06-05,4.3836,"MEDIUM TERM"
Engineering,2014-05-11,,NULL,"LEGACY TENURE"
Engineering,2011-12-16,,NULL,"LEGACY TENURE"
Engineering,2019-09-27,,NULL,"LEGACY TENURE"
Engineering,2017-05-04,,NULL,"LEGACY TENURE"
Engineering,2001-08-21,,NULL,"LEGACY TENURE"
Engineering,2011-04-21,,NULL,"LEGACY TENURE"
Engineering,2005-08-25,,NULL,"LEGACY TENURE"
Engineering,2018-08-25,,NULL,"LEGACY TENURE"
Engineering,2001-01-07,,NULL,"LEGACY TENURE"
Engineering,2006-01-03,2006-11-30,0.9068,"ENTRY LEVEL"
Engineering,2016-11-29,,NULL,"LEGACY TENURE"
Engineering,2006-10-15,,NULL,"LEGACY TENURE"
Engineering,2000-10-22,,NULL,"LEGACY TENURE"
Engineering,2012-04-07,,NULL,"LEGACY TENURE"
Engineering,2020-08-28,,NULL,"LEGACY TENURE"
Engineering,2006-02-05,,NULL,"LEGACY TENURE"
Engineering,2009-08-11,,NULL,"LEGACY TENURE"
Engineering,2011-10-21,,NULL,"LEGACY TENURE"
Engineering,2007-09-28,2008-09-10,0.9534,"ENTRY LEVEL"
Engineering,2018-12-21,2034-08-16,15.6630,"LEGACY TENURE"
Engineering,2003-12-23,,NULL,"LEGACY TENURE"
Engineering,2015-12-12,,NULL,"LEGACY TENURE"
Engineering,2007-08-27,,NULL,"LEGACY TENURE"
Engineering,2015-10-17,2034-06-11,18.6630,"LEGACY TENURE"
Engineering,2019-06-09,2034-09-02,15.2438,"LONG TERM"
Engineering,2004-12-19,2009-04-25,4.3507,"MEDIUM TERM"
Engineering,2011-04-27,2029-01-06,17.7096,"LEGACY TENURE"
Engineering,2007-05-02,,NULL,"LEGACY TENURE"
Engineering,2005-07-02,,NULL,"LEGACY TENURE"
Engineering,2008-01-30,,NULL,"LEGACY TENURE"
Engineering,2014-10-28,,NULL,"LEGACY TENURE"
Engineering,2016-03-10,,NULL,"LEGACY TENURE"
Engineering,2012-01-29,,NULL,"LEGACY TENURE"
Engineering,2015-04-30,2020-04-14,4.9616,"MEDIUM TERM"
Engineering,2020-06-12,2037-10-01,17.3151,"LEGACY TENURE"
Engineering,2006-05-29,,NULL,"LEGACY TENURE"
Engineering,2010-12-14,,NULL,"LEGACY TENURE"
Engineering,2015-06-24,,NULL,"LEGACY TENURE"
Engineering,2018-01-18,,NULL,"LEGACY TENURE"
Engineering,2007-12-13,,NULL,"LEGACY TENURE"
Engineering,2019-06-14,,NULL,"LEGACY TENURE"
Engineering,2007-12-17,,NULL,"LEGACY TENURE"
Engineering,2015-08-02,,NULL,"LEGACY TENURE"
Engineering,2016-06-14,,NULL,"LEGACY TENURE"
Engineering,2015-07-27,2020-07-02,4.9370,"MEDIUM TERM"
Engineering,2004-02-06,,NULL,"LEGACY TENURE"
Engineering,2001-04-10,,NULL,"LEGACY TENURE"
Engineering,2013-04-05,,NULL,"LEGACY TENURE"
Engineering,2018-10-29,,NULL,"LEGACY TENURE"
Engineering,2005-01-12,2006-03-15,1.1699,"ENTRY LEVEL"
Engineering,2016-11-08,,NULL,"LEGACY TENURE"
Engineering,2004-04-14,,NULL,"LEGACY TENURE"
Engineering,2020-05-18,2034-05-15,14.0000,"LONG TERM"
Engineering,2009-03-10,,NULL,"LEGACY TENURE"
Engineering,2019-12-15,,NULL,"LEGACY TENURE"
Engineering,2007-03-18,,NULL,"LEGACY TENURE"
Engineering,2003-02-11,,NULL,"LEGACY TENURE"
Engineering,2001-05-27,2017-06-02,16.0274,"LEGACY TENURE"
Engineering,2002-09-06,2015-02-21,12.4685,"LONG TERM"
Engineering,2012-11-15,,NULL,"LEGACY TENURE"
Engineering,2002-11-28,,NULL,"LEGACY TENURE"
Engineering,2002-10-07,,NULL,"LEGACY TENURE"
Engineering,2015-01-15,2016-10-28,1.7863,"ENTRY LEVEL"
Engineering,2016-04-01,,NULL,"LEGACY TENURE"
Engineering,2011-06-05,,NULL,"LEGACY TENURE"
Engineering,2019-09-01,,NULL,"LEGACY TENURE"
Engineering,2016-12-01,2036-08-17,19.7233,"LEGACY TENURE"
Engineering,2019-02-06,2024-11-20,5.7918,"MEDIUM TERM"
Engineering,2006-10-29,,NULL,"LEGACY TENURE"
Engineering,2007-08-31,,NULL,"LEGACY TENURE"
Engineering,2018-09-11,,NULL,"LEGACY TENURE"
Engineering,2013-07-31,,NULL,"LEGACY TENURE"
Engineering,2003-04-28,,NULL,"LEGACY TENURE"
Engineering,2017-01-23,,NULL,"LEGACY TENURE"
Engineering,2013-05-11,2025-01-16,11.6932,"LONG TERM"
Engineering,2006-10-04,,NULL,"LEGACY TENURE"
Engineering,2012-09-19,,NULL,"LEGACY TENURE"
Engineering,2002-08-15,,NULL,"LEGACY TENURE"
Engineering,2007-12-13,2015-02-17,7.1863,"MEDIUM TERM"
Engineering,2011-12-20,,NULL,"LEGACY TENURE"
Engineering,2015-10-22,,NULL,"LEGACY TENURE"
Engineering,2015-02-22,,NULL,"LEGACY TENURE"
Engineering,2017-09-30,2037-02-13,19.3863,"LEGACY TENURE"
Engineering,2001-03-31,,NULL,"LEGACY TENURE"
Engineering,2007-01-17,,NULL,"LEGACY TENURE"
Engineering,2003-03-04,,NULL,"LEGACY TENURE"
Engineering,2019-10-09,,NULL,"LEGACY TENURE"
Engineering,2013-06-26,,NULL,"LEGACY TENURE"
Engineering,2008-11-21,,NULL,"LEGACY TENURE"
Engineering,2009-10-03,,NULL,"LEGACY TENURE"
Engineering,2011-09-11,,NULL,"LEGACY TENURE"
Engineering,2005-11-14,,NULL,"LEGACY TENURE"
Engineering,2016-01-28,,NULL,"LEGACY TENURE"
Engineering,2001-05-21,,NULL,"LEGACY TENURE"
Engineering,2009-03-22,,NULL,"LEGACY TENURE"
Engineering,2013-09-18,,NULL,"LEGACY TENURE"
Engineering,2007-01-29,,NULL,"LEGACY TENURE"
Engineering,2018-06-10,,NULL,"LEGACY TENURE"
Engineering,2003-02-08,,NULL,"LEGACY TENURE"
Engineering,2008-11-21,,NULL,"LEGACY TENURE"
Engineering,2001-06-05,2014-12-13,13.5315,"LONG TERM"
Engineering,2010-10-14,2017-12-03,7.1425,"MEDIUM TERM"
Engineering,2006-04-25,,NULL,"LEGACY TENURE"
Engineering,2005-10-14,2007-04-17,1.5068,"ENTRY LEVEL"
Engineering,2005-05-30,,NULL,"LEGACY TENURE"
Engineering,2017-04-26,,NULL,"LEGACY TENURE"
Engineering,2018-10-20,,NULL,"LEGACY TENURE"
Engineering,2012-02-21,,NULL,"LEGACY TENURE"
Engineering,2014-06-08,,NULL,"LEGACY TENURE"
Engineering,2011-11-18,2024-10-18,12.9260,"LONG TERM"
Engineering,2019-05-04,2037-12-21,18.6466,"LEGACY TENURE"
Engineering,2020-01-20,,NULL,"LEGACY TENURE"
Engineering,2002-06-07,,NULL,"LEGACY TENURE"
Engineering,2011-07-21,,NULL,"LEGACY TENURE"
Engineering,2016-07-27,,NULL,"LEGACY TENURE"
Engineering,2013-12-21,,NULL,"LEGACY TENURE"
Engineering,2019-07-28,2036-10-25,17.2575,"LEGACY TENURE"
Engineering,2011-09-21,2031-09-30,20.0384,"LEGACY TENURE"
Engineering,2016-04-18,2028-06-22,12.1863,"LONG TERM"
Engineering,2016-06-24,,NULL,"LEGACY TENURE"
Engineering,2011-10-24,,NULL,"LEGACY TENURE"
Engineering,2013-08-06,2034-01-16,20.4603,"LEGACY TENURE"
Engineering,2005-02-22,,NULL,"LEGACY TENURE"
Engineering,2015-04-23,,NULL,"LEGACY TENURE"
Engineering,2016-02-04,,NULL,"LEGACY TENURE"
Engineering,2010-05-25,,NULL,"LEGACY TENURE"
Engineering,2018-01-17,,NULL,"LEGACY TENURE"
Engineering,2010-09-05,,NULL,"LEGACY TENURE"
Engineering,2016-06-15,,NULL,"LEGACY TENURE"
Engineering,2002-02-06,,NULL,"LEGACY TENURE"
Engineering,2007-08-23,,NULL,"LEGACY TENURE"
Engineering,2007-11-11,2010-09-09,2.8301,"MEDIUM TERM"
Engineering,2010-07-25,,NULL,"LEGACY TENURE"
Engineering,2005-03-18,,NULL,"LEGACY TENURE"
Engineering,2013-03-09,,NULL,"LEGACY TENURE"
Engineering,2020-12-01,,NULL,"LEGACY TENURE"
Engineering,2004-12-19,,NULL,"LEGACY TENURE"
Engineering,2001-10-03,,NULL,"LEGACY TENURE"
Engineering,2008-02-21,2024-06-29,16.3644,"LEGACY TENURE"
Engineering,2001-02-25,,NULL,"LEGACY TENURE"
Engineering,2008-02-17,,NULL,"LEGACY TENURE"
Engineering,2012-01-19,,NULL,"LEGACY TENURE"
Engineering,2008-11-19,,NULL,"LEGACY TENURE"
Engineering,2001-07-15,2021-03-22,19.6986,"LEGACY TENURE"
Engineering,2000-12-08,,NULL,"LEGACY TENURE"
Engineering,2011-03-19,,NULL,"LEGACY TENURE"
Engineering,2017-09-05,,NULL,"LEGACY TENURE"
Engineering,2007-03-06,2017-01-23,9.8932,"MEDIUM TERM"
Engineering,2010-05-07,,NULL,"LEGACY TENURE"
Engineering,2007-01-25,,NULL,"LEGACY TENURE"
Engineering,2018-04-24,2037-08-29,19.3616,"LEGACY TENURE"
Engineering,2006-09-09,2027-04-13,20.6055,"LEGACY TENURE"
Engineering,2011-02-07,,NULL,"LEGACY TENURE"
Engineering,2003-03-05,,NULL,"LEGACY TENURE"
Engineering,2004-10-16,,NULL,"LEGACY TENURE"
Engineering,2015-04-12,,NULL,"LEGACY TENURE"
Engineering,2011-09-07,,NULL,"LEGACY TENURE"
Engineering,2005-03-26,,NULL,"LEGACY TENURE"
Engineering,2014-12-18,,NULL,"LEGACY TENURE"
Engineering,2018-06-14,,NULL,"LEGACY TENURE"
Engineering,2019-04-24,,NULL,"LEGACY TENURE"
Engineering,2006-03-01,,NULL,"LEGACY TENURE"
Engineering,2004-03-10,,NULL,"LEGACY TENURE"
Engineering,2001-01-26,,NULL,"LEGACY TENURE"
Engineering,2004-12-23,,NULL,"LEGACY TENURE"
Engineering,2016-12-13,2027-10-19,10.8548,"LONG TERM"
Engineering,2017-05-24,,NULL,"LEGACY TENURE"
Engineering,2002-04-30,,NULL,"LEGACY TENURE"
Engineering,2006-09-19,2021-09-22,15.0192,"LONG TERM"
Engineering,2014-09-16,,NULL,"LEGACY TENURE"
Engineering,2012-03-13,,NULL,"LEGACY TENURE"
Engineering,2016-08-09,,NULL,"LEGACY TENURE"
Engineering,2008-03-11,,NULL,"LEGACY TENURE"
Engineering,2018-07-04,,NULL,"LEGACY TENURE"
Engineering,2012-04-07,2027-03-22,14.9644,"LONG TERM"
Engineering,2004-04-07,,NULL,"LEGACY TENURE"
Engineering,2013-02-08,2017-11-09,4.7534,"MEDIUM TERM"
Engineering,2019-08-21,,NULL,"LEGACY TENURE"
Engineering,2018-11-13,,NULL,"LEGACY TENURE"
Engineering,2011-02-11,,NULL,"LEGACY TENURE"
Engineering,2006-06-29,,NULL,"LEGACY TENURE"
Engineering,2019-07-26,2022-02-12,2.5534,"MEDIUM TERM"
Engineering,2011-01-30,,NULL,"LEGACY TENURE"
Engineering,2006-10-23,,NULL,"LEGACY TENURE"
Engineering,2007-01-28,,NULL,"LEGACY TENURE"
Engineering,2019-09-11,,NULL,"LEGACY TENURE"
Engineering,2014-03-19,,NULL,"LEGACY TENURE"
Engineering,2014-05-12,,NULL,"LEGACY TENURE"
Engineering,2016-09-26,2027-06-13,10.7178,"LONG TERM"
Engineering,2015-10-04,,NULL,"LEGACY TENURE"
Engineering,2011-11-15,2016-10-05,4.8932,"MEDIUM TERM"
Engineering,2010-08-14,,NULL,"LEGACY TENURE"
Engineering,2005-08-14,,NULL,"LEGACY TENURE"
Engineering,2005-09-25,,NULL,"LEGACY TENURE"
Engineering,2000-12-05,,NULL,"LEGACY TENURE"
Engineering,2016-12-23,,NULL,"LEGACY TENURE"
Engineering,2002-08-10,,NULL,"LEGACY TENURE"
Engineering,2002-03-08,,NULL,"LEGACY TENURE"
Engineering,2010-10-03,,NULL,"LEGACY TENURE"
Engineering,2019-04-16,2020-05-28,1.1178,"ENTRY LEVEL"
Engineering,2018-11-26,,NULL,"LEGACY TENURE"
Engineering,2006-08-07,,NULL,"LEGACY TENURE"
Engineering,2019-05-20,,NULL,"LEGACY TENURE"
Engineering,2014-10-21,,NULL,"LEGACY TENURE"
Engineering,2007-12-20,,NULL,"LEGACY TENURE"
Engineering,2013-08-31,,NULL,"LEGACY TENURE"
Engineering,2020-10-27,,NULL,"LEGACY TENURE"
Engineering,2004-06-20,,NULL,"LEGACY TENURE"
Engineering,2011-06-04,,NULL,"LEGACY TENURE"
Engineering,2005-02-22,,NULL,"LEGACY TENURE"
Engineering,2019-02-15,,NULL,"LEGACY TENURE"
Engineering,2017-06-15,,NULL,"LEGACY TENURE"
Engineering,2004-12-13,,NULL,"LEGACY TENURE"
Engineering,2009-03-02,,NULL,"LEGACY TENURE"
Engineering,2003-06-11,,NULL,"LEGACY TENURE"
Engineering,2019-03-10,2035-10-25,16.6384,"LEGACY TENURE"
Engineering,2015-01-06,2025-10-23,10.8027,"LONG TERM"
Engineering,2006-08-20,,NULL,"LEGACY TENURE"
Engineering,2003-12-24,,NULL,"LEGACY TENURE"
Engineering,2001-03-13,,NULL,"LEGACY TENURE"
Engineering,2003-12-12,,NULL,"LEGACY TENURE"
Engineering,2014-10-04,,NULL,"LEGACY TENURE"
Engineering,2005-11-29,,NULL,"LEGACY TENURE"
Engineering,2014-06-29,,NULL,"LEGACY TENURE"
Engineering,2004-12-14,,NULL,"LEGACY TENURE"
Engineering,2003-03-09,2022-03-25,19.0575,"LEGACY TENURE"
Engineering,2018-12-22,,NULL,"LEGACY TENURE"
Engineering,2010-07-01,2012-12-29,2.4986,"ENTRY LEVEL"
Engineering,2006-07-30,,NULL,"LEGACY TENURE"
Engineering,2020-09-24,,NULL,"LEGACY TENURE"
Engineering,2019-11-29,2031-01-06,11.1123,"LONG TERM"
Engineering,2016-10-05,,NULL,"LEGACY TENURE"
Engineering,2017-07-14,,NULL,"LEGACY TENURE"
Engineering,2012-09-19,2018-09-04,5.9616,"MEDIUM TERM"
Engineering,2006-10-07,,NULL,"LEGACY TENURE"
Engineering,2015-06-05,,NULL,"LEGACY TENURE"
Engineering,2020-05-18,,NULL,"LEGACY TENURE"
Engineering,2002-03-01,,NULL,"LEGACY TENURE"
Engineering,2013-11-08,,NULL,"LEGACY TENURE"
Engineering,2005-12-02,,NULL,"LEGACY TENURE"
Engineering,2004-03-26,2006-05-08,2.1178,"ENTRY LEVEL"
Engineering,2011-10-08,,NULL,"LEGACY TENURE"
Engineering,2016-03-20,,NULL,"LEGACY TENURE"
Engineering,2007-02-07,,NULL,"LEGACY TENURE"
Engineering,2013-05-02,,NULL,"LEGACY TENURE"
Engineering,2015-11-13,2036-03-04,20.3205,"LEGACY TENURE"
Engineering,2018-05-16,,NULL,"LEGACY TENURE"
Engineering,2009-11-14,,NULL,"LEGACY TENURE"
Engineering,2009-05-21,,NULL,"LEGACY TENURE"
Engineering,2002-06-26,,NULL,"LEGACY TENURE"
Engineering,2001-08-27,,NULL,"LEGACY TENURE"
Engineering,2017-04-23,,NULL,"LEGACY TENURE"
Engineering,2002-10-02,,NULL,"LEGACY TENURE"
Engineering,2017-08-05,,NULL,"LEGACY TENURE"
Engineering,2010-09-25,,NULL,"LEGACY TENURE"
Engineering,2003-10-01,,NULL,"LEGACY TENURE"
Engineering,2005-04-03,,NULL,"LEGACY TENURE"
Engineering,2001-04-02,,NULL,"LEGACY TENURE"
Engineering,2008-05-01,,NULL,"LEGACY TENURE"
Engineering,2001-10-21,2015-11-29,14.1151,"LONG TERM"
Engineering,2018-11-03,2026-06-07,7.5973,"MEDIUM TERM"
Engineering,2018-06-13,,NULL,"LEGACY TENURE"
Engineering,2006-03-23,,NULL,"LEGACY TENURE"
Engineering,2011-05-22,,NULL,"LEGACY TENURE"
Engineering,2018-04-08,,NULL,"LEGACY TENURE"
Engineering,2008-07-17,,NULL,"LEGACY TENURE"
Engineering,2018-08-06,,NULL,"LEGACY TENURE"
Engineering,2018-10-15,2027-10-19,9.0164,"MEDIUM TERM"
Engineering,2013-06-11,,NULL,"LEGACY TENURE"
Engineering,2006-01-31,,NULL,"LEGACY TENURE"
Engineering,2017-11-02,,NULL,"LEGACY TENURE"
Engineering,2020-04-22,,NULL,"LEGACY TENURE"
Engineering,2005-10-01,,NULL,"LEGACY TENURE"
Engineering,2011-10-25,,NULL,"LEGACY TENURE"
Engineering,2011-01-06,,NULL,"LEGACY TENURE"
Engineering,2003-01-31,2009-01-04,5.9315,"MEDIUM TERM"
Engineering,2005-06-25,2016-11-23,11.4219,"LONG TERM"
Engineering,2001-07-07,,NULL,"LEGACY TENURE"
Engineering,2018-05-12,,NULL,"LEGACY TENURE"
Engineering,2001-10-16,,NULL,"LEGACY TENURE"
Engineering,2003-03-31,,NULL,"LEGACY TENURE"
Engineering,2012-01-21,2015-10-24,3.7589,"MEDIUM TERM"
Engineering,2018-04-08,2038-01-04,19.7562,"LEGACY TENURE"
Engineering,2020-10-15,2041-02-12,20.3425,"LEGACY TENURE"
Engineering,2014-07-23,,NULL,"LEGACY TENURE"
Engineering,2004-08-06,,NULL,"LEGACY TENURE"
Engineering,2020-08-20,2031-02-03,10.4630,"MEDIUM TERM"
Engineering,2005-03-24,,NULL,"LEGACY TENURE"
Engineering,2014-09-21,,NULL,"LEGACY TENURE"
Engineering,2004-02-22,,NULL,"LEGACY TENURE"
Engineering,2018-12-13,,NULL,"LEGACY TENURE"
Engineering,2005-05-28,,NULL,"LEGACY TENURE"
Engineering,2008-05-21,,NULL,"LEGACY TENURE"
Engineering,2006-05-07,,NULL,"LEGACY TENURE"
Engineering,2006-11-04,,NULL,"LEGACY TENURE"
Engineering,2017-10-23,,NULL,"LEGACY TENURE"
Engineering,2009-05-19,,NULL,"LEGACY TENURE"
Engineering,2015-04-17,2020-01-09,4.7342,"MEDIUM TERM"
Engineering,2009-04-09,,NULL,"LEGACY TENURE"
Engineering,2013-07-14,,NULL,"LEGACY TENURE"
Engineering,2007-02-08,,NULL,"LEGACY TENURE"
Engineering,2005-06-30,,NULL,"LEGACY TENURE"
Engineering,2004-08-04,,NULL,"LEGACY TENURE"
Engineering,2011-09-07,,NULL,"LEGACY TENURE"
Engineering,2007-12-11,,NULL,"LEGACY TENURE"
Engineering,2011-12-03,,NULL,"LEGACY TENURE"
Engineering,2007-10-20,,NULL,"LEGACY TENURE"
Engineering,2017-12-23,2031-11-30,13.9452,"LONG TERM"
Engineering,2009-04-23,,NULL,"LEGACY TENURE"
Engineering,2009-02-12,,NULL,"LEGACY TENURE"
Engineering,2006-02-10,,NULL,"LEGACY TENURE"
Engineering,2002-02-01,2018-04-08,16.1918,"LEGACY TENURE"
Engineering,2018-07-02,,NULL,"LEGACY TENURE"
Engineering,2018-11-06,,NULL,"LEGACY TENURE"
Engineering,2015-10-26,2024-12-28,9.1808,"MEDIUM TERM"
Engineering,2009-03-14,,NULL,"LEGACY TENURE"
Engineering,2007-07-04,2009-06-11,1.9397,"ENTRY LEVEL"
Engineering,2018-08-03,,NULL,"LEGACY TENURE"
Engineering,2015-01-24,,NULL,"LEGACY TENURE"
Engineering,2003-08-16,2005-07-08,1.8959,"ENTRY LEVEL"
Engineering,2013-05-04,,NULL,"LEGACY TENURE"
Engineering,2014-04-14,,NULL,"LEGACY TENURE"
Engineering,2007-01-02,,NULL,"LEGACY TENURE"
Engineering,2013-06-02,2030-01-30,16.6740,"LEGACY TENURE"
Engineering,2013-11-20,,NULL,"LEGACY TENURE"
Engineering,2004-06-11,,NULL,"LEGACY TENURE"
Engineering,2012-03-05,,NULL,"LEGACY TENURE"
Engineering,2002-09-25,2018-10-21,16.0822,"LEGACY TENURE"
Engineering,2009-03-15,,NULL,"LEGACY TENURE"
Engineering,2002-01-27,,NULL,"LEGACY TENURE"
Engineering,2006-12-29,,NULL,"LEGACY TENURE"
Engineering,2013-03-05,,NULL,"LEGACY TENURE"
Engineering,2008-11-24,,NULL,"LEGACY TENURE"
Engineering,2010-03-26,,NULL,"LEGACY TENURE"
Engineering,2013-01-11,,NULL,"LEGACY TENURE"
Engineering,2017-02-17,,NULL,"LEGACY TENURE"
Engineering,2014-09-03,,NULL,"LEGACY TENURE"
Engineering,2006-01-13,,NULL,"LEGACY TENURE"
Engineering,2007-06-09,,NULL,"LEGACY TENURE"
Engineering,2003-10-26,,NULL,"LEGACY TENURE"
Engineering,2009-07-18,,NULL,"LEGACY TENURE"
Engineering,2014-12-23,,NULL,"LEGACY TENURE"
Engineering,2009-08-10,,NULL,"LEGACY TENURE"
Engineering,2001-11-04,,NULL,"LEGACY TENURE"
Engineering,2008-01-22,,NULL,"LEGACY TENURE"
Engineering,2020-05-21,,NULL,"LEGACY TENURE"
Engineering,2014-03-07,2030-06-21,16.3014,"LEGACY TENURE"
Engineering,2004-11-10,2019-08-13,14.7644,"LONG TERM"
Engineering,2002-03-24,,NULL,"LEGACY TENURE"
Engineering,2007-10-17,,NULL,"LEGACY TENURE"
Engineering,2012-10-02,,NULL,"LEGACY TENURE"
Engineering,2001-01-15,,NULL,"LEGACY TENURE"
Engineering,2013-04-19,,NULL,"LEGACY TENURE"
Engineering,2012-01-01,,NULL,"LEGACY TENURE"
Engineering,2001-03-17,,NULL,"LEGACY TENURE"
Engineering,2002-12-08,,NULL,"LEGACY TENURE"
Engineering,2018-02-04,,NULL,"LEGACY TENURE"
Engineering,2009-04-26,,NULL,"LEGACY TENURE"
Engineering,2004-09-16,,NULL,"LEGACY TENURE"
Engineering,2019-07-17,,NULL,"LEGACY TENURE"
Engineering,2016-12-23,,NULL,"LEGACY TENURE"
Engineering,2005-03-29,,NULL,"LEGACY TENURE"
Engineering,2001-11-21,,NULL,"LEGACY TENURE"
Engineering,2016-06-22,,NULL,"LEGACY TENURE"
Engineering,2004-04-13,,NULL,"LEGACY TENURE"
Engineering,2002-11-15,,NULL,"LEGACY TENURE"
Engineering,2017-01-29,,NULL,"LEGACY TENURE"
Engineering,2013-02-19,,NULL,"LEGACY TENURE"
Engineering,2010-10-28,,NULL,"LEGACY TENURE"
Engineering,2016-04-18,,NULL,"LEGACY TENURE"
Engineering,2008-03-25,,NULL,"LEGACY TENURE"
Engineering,2008-11-08,,NULL,"LEGACY TENURE"
Engineering,2009-02-23,2022-04-12,13.1397,"LONG TERM"
Engineering,2007-08-16,,NULL,"LEGACY TENURE"
Engineering,2019-08-13,2032-01-23,12.4548,"LONG TERM"
Engineering,2014-05-01,,NULL,"LEGACY TENURE"
Engineering,2012-03-27,,NULL,"LEGACY TENURE"
Engineering,2013-01-17,,NULL,"LEGACY TENURE"
Engineering,2016-06-15,2034-03-14,17.7562,"LEGACY TENURE"
Engineering,2013-05-19,,NULL,"LEGACY TENURE"
Engineering,2012-02-13,,NULL,"LEGACY TENURE"
Engineering,2018-04-29,2029-10-23,11.4932,"LONG TERM"
Engineering,2009-03-11,,NULL,"LEGACY TENURE"
Engineering,2011-10-27,2020-12-13,9.1370,"MEDIUM TERM"
Engineering,2018-08-05,,NULL,"LEGACY TENURE"
Engineering,2019-10-08,,NULL,"LEGACY TENURE"
Engineering,2007-11-24,,NULL,"LEGACY TENURE"
Engineering,2009-03-10,,NULL,"LEGACY TENURE"
Engineering,2001-11-17,2014-07-02,12.6301,"LONG TERM"
Engineering,2003-08-19,2020-10-11,17.1589,"LEGACY TENURE"
Engineering,2008-03-20,2011-02-11,2.8986,"MEDIUM TERM"
Engineering,2006-10-01,,NULL,"LEGACY TENURE"
Engineering,2004-07-15,2011-08-09,7.0712,"MEDIUM TERM"
Engineering,2009-01-07,,NULL,"LEGACY TENURE"
Engineering,2019-11-14,2035-04-23,15.4493,"LONG TERM"
Engineering,2006-02-14,,NULL,"LEGACY TENURE"
Engineering,2019-04-22,,NULL,"LEGACY TENURE"
Engineering,2020-01-14,,NULL,"LEGACY TENURE"
Engineering,2015-11-22,,NULL,"LEGACY TENURE"
Engineering,2015-01-05,,NULL,"LEGACY TENURE"
Engineering,2015-02-21,,NULL,"LEGACY TENURE"
Engineering,2013-04-27,,NULL,"LEGACY TENURE"
Engineering,2017-07-03,,NULL,"LEGACY TENURE"
Engineering,2012-04-20,,NULL,"LEGACY TENURE"
Engineering,2007-07-18,,NULL,"LEGACY TENURE"
Engineering,2011-12-12,,NULL,"LEGACY TENURE"
Engineering,2020-12-05,,NULL,"LEGACY TENURE"
Engineering,2013-05-29,2020-09-16,7.3068,"MEDIUM TERM"
Engineering,2009-11-17,,NULL,"LEGACY TENURE"
Engineering,2018-06-17,,NULL,"LEGACY TENURE"
Engineering,2012-03-06,2026-07-08,14.3479,"LONG TERM"
Engineering,2011-03-25,,NULL,"LEGACY TENURE"
Engineering,2016-11-07,,NULL,"LEGACY TENURE"
Engineering,2020-10-25,,NULL,"LEGACY TENURE"
Engineering,2001-07-11,,NULL,"LEGACY TENURE"
Engineering,2018-11-11,,NULL,"LEGACY TENURE"
Engineering,2019-10-21,,NULL,"LEGACY TENURE"
Engineering,2009-07-05,,NULL,"LEGACY TENURE"
Engineering,2006-06-27,,NULL,"LEGACY TENURE"
Engineering,2008-12-22,2009-04-16,0.3151,"ENTRY LEVEL"
Engineering,2012-08-04,,NULL,"LEGACY TENURE"
Engineering,2018-01-22,,NULL,"LEGACY TENURE"
Engineering,2004-04-08,,NULL,"LEGACY TENURE"
Engineering,2018-03-24,,NULL,"LEGACY TENURE"
Engineering,2011-03-02,,NULL,"LEGACY TENURE"
Engineering,2018-07-28,,NULL,"LEGACY TENURE"
Engineering,2006-12-12,,NULL,"LEGACY TENURE"
Engineering,2016-02-01,,NULL,"LEGACY TENURE"
Engineering,2019-01-27,,NULL,"LEGACY TENURE"
Engineering,2010-06-07,,NULL,"LEGACY TENURE"
Engineering,2006-05-10,,NULL,"LEGACY TENURE"
Engineering,2018-05-04,,NULL,"LEGACY TENURE"
Engineering,2017-11-06,,NULL,"LEGACY TENURE"
Engineering,2001-06-25,,NULL,"LEGACY TENURE"
Engineering,2002-06-18,,NULL,"LEGACY TENURE"
Engineering,2005-10-05,,NULL,"LEGACY TENURE"
Engineering,2013-10-14,,NULL,"LEGACY TENURE"
Engineering,2004-03-19,,NULL,"LEGACY TENURE"
